2022-03-01 02:59:19,043 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: uniswap
2022-03-01 02:59:19,043 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: uniswap
2022-03-01 02:59:22,672 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: chainlink
2022-03-01 02:59:22,672 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: chainlink
2022-03-01 02:59:26,415 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: ftx-token
2022-03-01 02:59:26,415 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: ftx-token
2022-03-01 02:59:29,977 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: near-protocol
2022-03-01 02:59:29,977 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: near-protocol
2022-03-01 02:59:33,521 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: bitcoin-cash
2022-03-01 02:59:33,521 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: bitcoin-cash
2022-03-01 02:59:37,073 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: unus-sed-leo
2022-03-01 02:59:37,073 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: unus-sed-leo
2022-03-01 02:59:40,630 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: algorand
2022-03-01 02:59:40,630 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: algorand
2022-03-01 02:59:44,168 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: decentraland
2022-03-01 02:59:44,168 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: decentraland
2022-03-01 02:59:47,723 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: okb
2022-03-01 02:59:47,723 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: okb
2022-03-01 02:59:51,261 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: stellar
2022-03-01 02:59:51,261 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: stellar
2022-03-01 02:59:54,835 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: fantom
2022-03-01 02:59:54,835 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: fantom
2022-03-01 02:59:58,593 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: magic-internet-money
2022-03-01 02:59:58,593 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: magic-internet-money
2022-03-01 03:00:02,200 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: internet-computer
2022-03-01 03:00:02,200 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: internet-computer
2022-03-01 03:00:05,887 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: tron
2022-03-01 03:00:05,887 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: tron
2022-03-01 03:00:09,535 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: ethereum-classic
2022-03-01 03:00:09,535 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: ethereum-classic
2022-03-01 03:00:13,211 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: filecoin
2022-03-01 03:00:13,211 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: filecoin
2022-03-01 03:00:16,811 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: the-sandbox
2022-03-01 03:00:16,811 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: the-sandbox
2022-03-01 03:00:23,925 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: vechain. Finding new coin.
2022-03-01 03:00:26,057 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: hedera-hashgraph
2022-03-01 03:00:26,057 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: hedera-hashgraph
2022-03-01 03:00:29,654 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: elrond
2022-03-01 03:00:29,654 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: elrond
2022-03-01 03:00:33,201 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: axie-infinity
2022-03-01 03:00:33,201 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: axie-infinity
2022-03-01 03:00:37,048 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: klaytn
2022-03-01 03:00:37,048 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: klaytn
2022-03-01 03:00:40,710 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: compound-ether
2022-03-01 03:00:40,710 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: compound-ether
2022-03-01 03:00:44,392 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: monero
2022-03-01 03:00:44,392 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: monero
2022-03-01 03:00:47,993 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: tezos
2022-03-01 03:00:47,993 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: tezos
2022-03-01 03:00:51,890 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: frax
2022-03-01 03:00:51,890 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: frax
2022-03-01 03:00:55,298 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: theta-token. Finding new coin.
2022-03-01 03:00:55,860 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: helium
2022-03-01 03:00:55,860 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: helium
